1	22	7	190	352	601	124.571
2	32	10	389	721	1229	176.417
3	10	3	97	179	306	142.500
4	21	7	182	337	574	126.000
5	14	4	426	789	1345	456.500
6	14	4	91	167	285	96.667
7	16	5	40	73	124	35.500
8	34	11	300	555	947	126.217
9	25	8	282	522	890	166.000
10	26	8	298	551	940	167.000
11	27	8	266	493	840	142.500
12	11	4	265	490	836	346.667
13	10	3	31	58	98	45.444
14	44	13	234	433	738	76.452
15	16	5	261	484	825	236.889
16	26	8	189	350	596	105.900
17	41	13	386	715	1220	133.938
18	27	8	258	477	814	138.063
19	10	3	24	44	75	35.000
20	19	6	218	404	688	171.200
21	20	6	217	402	686	160.000
22	10	3	24	44	75	35.000
23	14	4	49	91	155	52.571
24	32	10	462	855	1458	209.333
25	39	12	269	497	848	98.857
