1	1240	992	1119	2072	3534	8.4002
2	1295	1036	1439	2665	4547	10.3465
3	1544	1235	866	1604	2735	5.2218
4	2396	1917	977	1810	3087	3.7975
5	1623	1298	1028	1903	3247	5.8956
6	2368	1895	1069	1980	3378	4.2035
7	2693	2155	1570	2908	4961	5.4279
8	1329	1063	733	1358	2317	5.1380
9	1850	1480	1001	1853	3161	5.0366
10	1850	1480	950	1760	3003	4.7839
11	1931	1545	1178	2181	3721	5.6776
12	1997	1598	1158	2144	3658	5.3970
13	1910	1528	1313	2433	4150	6.4046
14	1762	1410	845	1566	2671	4.4664
15	1964	1571	1225	2269	3870	5.8080
16	1643	1315	952	1763	3008	5.3939
17	1460	1168	691	1280	2184	4.4084
18	1245	996	1014	1879	3205	7.5884
19	1792	1434	706	1307	2229	3.6653
20	2409	1927	1244	2305	3932	4.8100
21	866	693	1044	1934	3299	11.2322
22	2218	1775	1947	3607	6153	8.1755
23	1643	1315	1228	2275	3881	6.9601
24	1989	1591	1616	2994	5107	7.5678
25	1369	1095	1154	2138	3647	7.8542
26	2197	1757	1386	2568	4380	5.8766
27	2169	1735	1263	2340	3991	5.4227
28	1515	1212	1308	2423	4133	8.0414
29	1425	1140	851	1577	2690	5.5628
30	1481	1185	1197	2218	3783	7.5277
