1	826	661	1499	2776	4736	16.900662
2	433	346	402	744	1269	8.655629
3	235	188	467	866	1476	18.585859
4	591	473	540	999	1704	8.503597
5	477	382	587	1087	1854	11.464730
6	459	367	521	965	1646	10.576336
7	934	747	1435	2658	4535	14.311504
8	380	304	796	1474	2515	19.538153
9	257	206	669	1238	2112	24.226563
10	315	252	1043	1933	3297	30.894737
11	116	93	304	564	961	24.573770
12	627	502	1016	1881	3209	15.092593
13	365	292	680	1260	2149	17.350515
14	325	260	735	1361	2321	21.107843
15	820	656	1101	2040	3480	12.508403
16	389	312	1154	2137	3645	27.619048
17	886	709	2099	3889	6634	22.071429
18	377	302	1180	2186	3729	29.157895
19	608	486	827	1531	2612	12.673540
20	170	136	366	678	1156	20.131579
21	395	316	870	1611	2747	20.500000
22	503	403	848	1571	2679	15.698630
23	490	392	777	1440	2456	14.778325
24	381	305	1191	2206	3763	29.142857
25	544	435	675	1250	2132	11.555024
26	710	568	1554	2878	4910	20.399329
27	634	507	757	1402	2392	11.121711
28	297	238	544	1008	1719	17.081081
29	267	214	391	723	1233	13.634483
30	562	450	762	1411	2407	12.625498
