1	2075	623	824	1526	2603	5.620243
2	3147	944	698	1293	2205	3.139940
3	1287	386	759	1405	2397	8.348810
4	1588	477	569	1054	1798	5.074442
5	2122	637	813	1505	2567	5.420985
6	1725	518	762	1410	2406	6.250348
7	1430	429	850	1574	2684	8.414706
8	1682	505	595	1102	1879	5.007109
9	2794	839	864	1600	2729	4.375865
10	2161	649	472	873	1489	3.088753
11	1715	515	571	1058	1805	4.715632
12	1389	417	738	1367	2331	7.522907
13	1917	575	469	869	1482	3.464956
14	1543	463	768	1423	2427	7.050761
15	2461	739	799	1479	2523	4.594775
16	1786	536	547	1013	1727	4.333781
17	1534	461	1030	1907	3254	9.505081
18	1249	375	632	1170	1996	7.166423
19	1559	468	849	1573	2684	7.713270
20	1819	546	591	1095	1867	4.601719
21	2020	606	701	1299	2216	4.914765
22	1821	547	613	1135	1935	4.762402
23	1912	574	678	1256	2143	5.021249
24	1697	510	844	1563	2667	7.040563
25	2194	659	967	1791	3055	6.239815
26	1199	360	482	893	1522	5.688172
27	2012	604	505	935	1595	3.553288
28	2314	695	579	1073	1829	3.542154
29	1159	348	460	851	1452	5.616541
30	1673	502	386	715	1219	3.262899
