1	1240	372	736	1363	2324	8.4002
2	1295	389	946	1753	2990	10.3465
3	1544	463	570	1055	1799	5.2218
4	2396	719	643	1190	2030	3.7975
5	1623	487	676	1252	2135	5.8956
6	2368	711	703	1302	2221	4.2035
7	2693	808	1033	1913	3262	5.4279
8	1329	399	482	893	1524	5.1380
9	1850	555	658	1219	2079	5.0366
10	1850	555	625	1158	1975	4.7839
11	1931	580	775	1435	2447	5.6776
12	1997	600	761	1410	2405	5.3970
13	1910	573	864	1600	2729	6.4046
14	1762	529	556	1030	1756	4.4664
15	1964	589	806	1492	2545	5.8080
16	1643	493	626	1160	1978	5.3939
17	1460	438	455	842	1436	4.4084
18	1245	374	667	1236	2108	7.5884
19	1792	538	464	860	1466	3.6653
20	2409	723	818	1516	2586	4.8100
21	866	260	687	1272	2169	11.2322
22	2218	666	1281	2372	4046	8.1755
23	1643	493	808	1496	2552	6.9601
24	1989	597	1063	1969	3359	7.5678
25	1369	411	759	1406	2398	7.8542
26	2197	659	912	1689	2880	5.8766
27	2169	651	831	1539	2625	5.4227
28	1515	455	860	1594	2718	8.0414
29	1425	428	560	1037	1769	5.5628
30	1481	445	788	1459	2488	7.5277
