1	1239	991	933	1728	2947	7.011070
2	1631	1305	1008	1866	3184	5.751816
3	1947	1558	792	1467	2502	3.786696
4	2055	1644	974	1805	3078	4.414496
5	1825	1460	1142	2115	3607	5.826613
6	1763	1411	939	1738	2965	4.955713
7	1645	1316	581	1076	1836	3.289902
8	1636	1309	861	1594	2719	4.898279
9	1507	1205	884	1637	2792	5.462098
10	2158	1727	1167	2162	3687	5.034843
11	1744	1395	561	1038	1771	2.992188
12	1480	1184	1227	2272	3876	7.717342
13	1307	1046	897	1661	2833	6.387061
14	2066	1653	1007	1865	3180	4.537166
15	2385	1908	933	1728	2947	3.641851
16	1101	881	930	1723	2939	7.868047
17	1375	1100	766	1418	2419	5.185792
18	2043	1634	1027	1902	3244	4.680166
19	1960	1568	872	1615	2755	4.141458
20	2000	1600	737	1365	2329	3.431914
21	1347	1078	706	1307	2229	4.876902
22	2039	1632	1233	2285	3897	5.632107
23	1483	1186	823	1524	2599	5.166055
24	1828	1463	647	1199	2045	3.295848
25	1465	1172	956	1770	3019	6.076142
26	1663	1330	1032	1911	3260	5.779854
27	1437	1150	723	1339	2283	4.682773
28	2759	2208	1419	2628	4483	4.787349
29	1772	1417	993	1839	3137	5.217530
30	1601	1281	916	1696	2893	5.324280
